sqft,bdrms,age,ocean_proximity,median_income,population,price
880,129,41,NEAR BAY,8.3252,322,452600
7099,1106,21,NEAR BAY,8.3014,2401,358500
1467,190,52,NEAR BAY,7.2574,496,352100
1274,235,52,NEAR BAY,5.6431,558,341300
1627,280,52,NEAR BAY,3.8462,565,342200
919,213,52,NEAR BAY,4.0368,413,269700
2535,489,52,NEAR BAY,3.6591,1094,299200
3104,687,52,NEAR BAY,3.12,1157,241400
2555,665,42,NEAR BAY,2.0804,1206,226700
3549,707,52,NEAR BAY,3.6912,1551,261100
2202,434,52,NEAR BAY,3.2031,910,281500
3503,752,52,NEAR BAY,3.2705,1504,241800
2491,474,52,NEAR BAY,3.075,1098,213500
696,191,52,NEAR BAY,2.6736,345,191300
2643,626,52,NEAR BAY,1.9167,1212,159200
1120,283,50,NEAR BAY,2.125,697,140000
1966,347,52,NEAR BAY,2.775,793,152500
1228,293,52,NEAR BAY,2.1202,648,155500
2239,455,50,NEAR BAY,1.9911,990,158700
1503,298,52,NEAR BAY,2.6033,690,162900
751,184,40,NEAR BAY,1.3578,409,147500
1639,367,42,NEAR BAY,1.7135,929,159800
2436,541,52,NEAR BAY,1.725,1015,113900
1688,337,52,NEAR BAY,2.1806,853,99700
2224,437,52,NEAR BAY,2.6,1006,132600
535,123,41,NEAR BAY,2.4038,317,107500
1130,244,49,NEAR BAY,2.4597,607,93800
1898,421,52,NEAR BAY,1.808,1102,105500
2082,492,50,NEAR BAY,1.6424,1131,108900
729,160,52,NEAR BAY,1.6875,395,132000
1916,447,49,NEAR BAY,1.9274,863,122300
2153,481,52,NEAR BAY,1.9615,1168,115200
1922,409,48,NEAR BAY,1.7969,1026,110400
1655,366,49,NEAR BAY,1.375,754,104900
2665,574,51,NEAR BAY,2.7303,1258,109700
1215,282,49,NEAR BAY,1.4861,570,97200
1798,432,48,NEAR BAY,1.0972,987,104500
1511,390,52,NEAR BAY,1.4103,901,103900
1470,330,52,NEAR BAY,3.48,689,191400
2432,715,52,NEAR BAY,2.5898,1377,176000
1665,419,52,NEAR BAY,2.0978,946,155400
936,311,51,NEAR BAY,1.2852,517,150000
713,202,49,NEAR BAY,1.025,462,118800
950,202,52,NEAR BAY,3.9643,467,188800
1443,311,52,NEAR BAY,3.0125,660,184400
1656,420,52,NEAR BAY,2.6768,718,182300
1125,322,50,NEAR BAY,2.026,616,142500
1007,312,43,NEAR BAY,1.7348,558,137500
624,195,40,NEAR BAY,0.9506,423,187500
946,375,40,NEAR BAY,1.775,700,112500
896,453,21,NEAR BAY,0.9218,735,171900
1868,456,43,NEAR BAY,1.5045,1061,93800
3221,853,41,NEAR BAY,1.1108,1959,97500
1630,456,52,NEAR BAY,1.2475,1162,104200
1170,235,52,NEAR BAY,1.6098,701,87500
945,243,52,NEAR BAY,1.4113,576,83100
1238,288,52,NEAR BAY,1.5057,622,87500
1489,335,52,NEAR BAY,0.8172,728,85300
1387,341,52,NEAR BAY,1.2171,1074,80300
158,43,2,NEAR BAY,2.5625,94,60000
1121,211,52,NEAR BAY,3.3929,554,75700
135,29,49,NEAR BAY,6.1183,86,75000
760,190,50,NEAR BAY,0.9011,377,86100
1224,237,52,NEAR BAY,1.191,521,76100
828,182,48,NEAR BAY,2.5938,392,73500
1010,209,52,NEAR BAY,1.1667,604,78400
1455,354,48,NEAR BAY,0.8056,788,84400
1027,244,52,NEAR BAY,2.6094,492,81300
572,109,52,NEAR BAY,1.8516,274,85000
2801,644,46,NEAR BAY,0.9802,1823,129200
768,152,26,NEAR BAY,1.7719,392,82500
935,297,46,NEAR BAY,0.7286,582,95200
844,204,49,NEAR BAY,1.75,560,75000
12,4,46,NEAR BAY,0.4999,18,67500
835,161,20,NEAR BAY,2.483,290,137500
1237,462,17,NEAR BAY,0.9241,762,177500
2914,562,36,NEAR BAY,2.4464,1236,102100
1207,243,19,NEAR BAY,1.1111,721,108300
1745,374,23,NEAR BAY,0.8026,1054,112500
684,176,38,NEAR BAY,2.0114,344,131300
924,289,17,NEAR BAY,1.5,609,162500
210,56,52,NEAR BAY,1.1667,183,112500
340,97,52,NEAR BAY,1.5208,200,112500
386,164,52,NEAR BAY,0.8075,346,137500
948,184,35,NEAR BAY,1.8088,467,118800
773,143,52,NEAR BAY,2.4083,377,98200
880,451,40,NEAR BAY,0.977,582,118800
875,348,10,NEAR BAY,0.76,546,162500
105,42,10,NEAR BAY,0.9722,125,137500
249,78,52,NEAR BAY,1.2434,396,500001
994,392,16,NEAR BAY,2.0938,800,162500
215,87,52,NEAR BAY,0.8668,904,137500
96,31,52,NEAR BAY,0.75,191,162500
1055,347,27,NEAR BAY,2.6354,718,187500
1715,623,39,NEAR BAY,1.8477,1327,179200
5329,2477,36,NEAR BAY,2.0096,3469,130000
4596,1331,31,NEAR BAY,2.8345,2048,183800
335,107,29,NEAR BAY,2.0062,202,125000
3682,1270,22,NEAR BAY,1.2185,2024,170000
3633,1085,37,NEAR BAY,2.6104,1838,193100
4656,1414,29,NEAR BAY,2.4912,2304,257800
5806,1603,28,NEAR BAY,3.2177,2563,273400
854,242,39,NEAR BAY,3.125,389,237500
2155,701,52,NEAR BAY,2.5795,895,350000
5871,1914,34,NEAR BAY,2.8406,2689,335700
1509,225,52,NEAR BAY,4.9306,674,313400
2026,482,52,NEAR BAY,3.2727,709,268500
1758,460,52,NEAR BAY,3.1691,686,259400
3481,751,52,NEAR BAY,3.9,1444,275700
3337,855,28,NEAR BAY,3.9063,1520,225000
1424,289,52,NEAR BAY,5.0917,550,262500
3809,1098,32,NEAR BAY,2.6429,1806,218500
3959,1196,26,NEAR BAY,3.0233,1749,255000
2376,559,52,NEAR BAY,3.1484,939,224100
1613,428,35,NEAR BAY,3.4722,675,243100
1279,287,52,NEAR BAY,3.1429,534,231600
5022,1750,28,NEAR BAY,2.4234,2558,218500
4190,1105,52,NEAR BAY,3.0897,1786,234100
2515,399,50,NEAR BAY,5.8596,970,327600
3175,454,47,NEAR BAY,5.2868,1098,347600
2576,406,41,NEAR BAY,5.956,794,366100
334,54,37,NEAR BAY,4.9643,98,335000
2800,411,52,NEAR BAY,6.3434,1061,373600
3529,574,52,NEAR BAY,5.1773,1177,389500
2612,365,52,NEAR BAY,7.2354,901,391100
5287,1048,28,NEAR BAY,5.457,2031,337300
2935,473,50,NEAR BAY,7.5,1031,295200
3424,597,44,NEAR BAY,6.0194,1358,292300
4991,674,40,NEAR BAY,7.5544,1616,411500
2211,346,30,NEAR BAY,6.0666,844,311500
3038,490,34,NEAR BAY,7.0548,1140,325900
1617,210,18,NEAR BAY,11.6017,533,392600
2865,460,35,NEAR BAY,7.4882,1072,319300
5065,788,34,NEAR BAY,6.8976,1627,333300
1326,184,28,NEAR BAY,8.2049,463,335200
1589,223,26,NEAR BAY,8.401,542,351200
1791,271,29,NEAR BAY,6.8538,661,368900
1835,264,32,NEAR BAY,8.317,635,365900
1229,181,37,NEAR BAY,7.0175,420,366700
3770,534,39,NEAR BAY,6.3302,1265,362800
292,38,30,NEAR BAY,6.3624,126,483300
2375,333,52,NEAR BAY,7.0549,813,331400
2964,436,45,NEAR BAY,6.7851,1067,323500
2833,605,50,NEAR BAY,2.8929,1260,216700
2254,535,38,NEAR BAY,3.0812,951,233100
1389,212,52,NEAR BAY,5.2402,510,296400
1971,335,52,NEAR BAY,6.5217,765,273700
2183,465,52,NEAR BAY,3.2632,1129,227700
2286,464,52,NEAR BAY,3.0298,1073,199600
2721,541,52,NEAR BAY,4.5428,1185,239800
2024,339,52,NEAR BAY,4.072,756,270100
2944,536,52,NEAR BAY,5.3509,1034,302100
2033,486,52,NEAR BAY,3.1603,787,269500
1433,229,52,NEAR BAY,4.7708,612,314700
2927,402,52,NEAR BAY,8.1564,1021,390100
2315,292,52,NEAR BAY,8.8793,861,410300
2485,313,52,NEAR BAY,6.8591,953,352400
1490,238,52,NEAR BAY,6.0302,634,287300
2814,365,52,NEAR BAY,7.508,878,348700
2093,550,52,NEAR BAY,2.7477,918,243800
888,168,52,NEAR BAY,2.1944,360,211500
2087,510,52,NEAR BAY,3.0149,1197,218400
2513,502,52,NEAR BAY,3.675,1048,269900
3232,835,46,NEAR BAY,3.225,1373,218800
4120,1065,42,NEAR BAY,2.9345,1715,225000
2364,792,43,NEAR BAY,2.1429,1359,250000
1471,469,41,NEAR BAY,1.6121,1062,171400
2468,864,29,NEAR BAY,1.3929,1335,193800
1632,492,27,NEAR BAY,2.3173,1171,125000
1786,526,45,NEAR BAY,1.7772,1475,97500
629,188,50,NEAR BAY,2.6458,742,125000
1339,391,52,NEAR BAY,2.181,1086,138800
1678,606,36,NEAR BAY,2.2303,1645,116700
2344,647,43,NEAR BAY,1.6504,1710,151800
996,228,52,NEAR BAY,2.2697,731,127000
1591,373,52,NEAR BAY,2.1563,1118,128600
1586,398,52,NEAR BAY,2.1348,1006,140600
2046,588,47,NEAR BAY,2.6292,1213,182700
1192,289,52,NEAR BAY,2.3833,772,146900
1803,420,52,NEAR BAY,2.957,1321,122800
2838,749,49,NEAR BAY,2.5238,1487,169300
783,184,52,NEAR BAY,1.9375,488,126600
1590,414,51,NEAR BAY,1.9028,949,127900
1746,480,50,NEAR BAY,2.25,1149,123500
1252,299,52,NEAR BAY,2.3929,844,111900
5963,1344,43,NEAR BAY,2.1917,4367,112800
